Fahrenheit equivalents of Celsius temperatures:
Celcius         Fahrenheit     
0               32.00          
10              50.00          
20              68.00          
30              86.00          
40              104.00         
50              122.00         
60              140.00         
70              158.00         
80              176.00         
90              194.00         
100             212.00         

Celcius equivalents of Fahrenheit temperatures:
Fahrenheit      Celcius        
32              0.00           
52              11.11          
72              22.22          
92              33.33          
112             44.44          
132             55.56          
152             66.67          
172             77.78          
192             88.89          
212             100.00         
